Event,Date,Time,Time Standard,Meet,Points,Age
100 FR SCY,2025-07-13,1:20.11,B,2025 NT IRON BB/B/C Jumping Into July,216,10
200 FR SCY,2025-07-13,2:52.97,B,2025 NT IRON BB/B/C Jumping Into July,195,10
50 FR SCY,2025-07-11,35.15,B,2025 NT IRON BB/B/C Jumping Into July,336,10
50 FL SCY,2025-07-11,42.34,B,2025 NT IRON BB/B/C Jumping Into July,127,10
100 IM SCY,2025-07-11,1:31.26,B,2025 NT IRON BB/B/C Jumping Into July,209,10
100 FR SCY,2025-06-15,1:27.33,B,2025 NT STAR We Love Flip Turns Meet,80,10
100 BK SCY,2025-06-15,1:33.57,B,2025 NT STAR We Love Flip Turns Meet,187,10
50 FL SCY,2025-06-15,47.20,Slower than B,2025 NT STAR We Love Flip Turns Meet,4,10
100 IM SCY,2025-06-15,1:42.33,Slower than B,2025 NT STAR We Love Flip Turns Meet,46,10
50 FR SCY,2025-06-14,35.81,B,2025 NT STAR We Love Flip Turns Meet,302,10
200 FR SCY,2025-06-14,2:57.44,B,2025 NT STAR We Love Flip Turns Meet,153,10
50 BK SCY,2025-06-14,41.60,BB,2025 NT STAR We Love Flip Turns Meet,271,10
100 BR SCY,2025-06-14,1:52.87,B,2025 NT STAR We Love Flip Turns Meet,90,10
50 FR SCY,2025-05-04,36.33,B,2025 NT Metroplex Aquatics May B/C Short Course Meet,276,10
50 BR SCY,2025-05-04,46.43,BB,2025 NT Metroplex Aquatics May B/C Short Course Meet,270,10
100 IM SCY,2025-05-04,1:33.83,B,2025 NT Metroplex Aquatics May B/C Short Course Meet,163,10
100 FR SCY,2025-05-03,1:22.82,B,2025 NT Metroplex Aquatics May B/C Short Course Meet,160,10
50 FL SCY,2025-05-03,47.11,Slower than B,2025 NT Metroplex Aquatics May B/C Short Course Meet,5,10
100 FR SCY,2025-04-18,1:24.57,B,2025 April JSL,127,10
50 BK SCY,2025-04-18,42.89,BB,2025 April JSL,216,10
50 BR SCY,2025-04-18,46.44,BB,2025 April JSL,269,10
50 FR SCY,2024-09-22,43.50,9-10,YMCA Dallas Fall Sprint Meet 2024,0,9
50 BR SCY,2024-09-22,54.01,10&U,YMCA Dallas Fall Sprint Meet 2024,0,9
100 FR Relay,2024-10-18,1:29.69,0-10,Coppell Intersquad Meet,0,9
50 FL SCY,2024-10-18,52.15,0-10,Coppell Intersquad Meet,0,9
100 IM SCY,2024-10-18,1:43.26,0-10,Coppell Intersquad Meet,0,9
50 BR SCY,2024-10-18,50.45,0-10,Coppell Intersquad Meet,0,9
100 FR SCY,2024-10-26,1:24.16,9-10,YMCA Dallas League Meet October 2023,0,9
50 FL SCY,2024-10-26,DQ,0-10,YMCA Dallas League Meet October 2023,0,9
50 BR SCY,2024-10-26,49.01,0-10,YMCA Dallas League Meet October 2023,0,9
100 BR SCY,2024-11-09,1:44.38,Mixed,2024 YMCA Texas North-South Meet,0,9
50 FL SCY,2024-11-09,50.79,Mixed,2024 YMCA Texas North-South Meet,0,9
100 FR SCY,2024-11-09,1:26.54,Mixed,2024 YMCA Texas North-South Meet,0,9
200 Medley Relay,2024-11-09,3:12.93,Mixed,2024 YMCA Texas North-South Meet,0,9
200 Medley Relay,2024-12-07,2:51.95,0-10,YMCA Dallas Winter Champs 2024,0,9
100 IM SCY,2024-12-07,1:40.48,9-10,YMCA Dallas Winter Champs 2024,0,9
100 FR SCY,2024-12-08,1:30.85,9-10,YMCA Dallas Winter Champs 2024,0,9
100 FL SCY,2024-12-08,2:02.70,9-10,YMCA Dallas Winter Champs 2024,0,9
200 FR Relay,2024-12-08,2:15.68,0-14,YMCA Dallas Winter Champs 2024,0,9
200 FR SCY,2024-12-08,3:14.32,9-10,YMCA Dallas Winter Champs 2024,0,9
100 BK SCY,2024-12-08,1:39.39,9-10,YMCA Dallas Winter Champs 2024,0,9
100 BR SCY,2024-12-08,1:46.36,9-10,YMCA Dallas Winter Champs 2024,0,9
50 FR SCY,2025-02-22,37.88,0-10,YMCA Dallas League Meet @ Coppell,0,10
50 BK SCY,2025-02-22,44.65,0-10,YMCA Dallas League Meet @ Coppell,0,10
50 BR SCY,2025-02-22,46.91,0-10,YMCA Dallas League Meet @ Coppell,0,10
50 FR LCM,2025-07-26,39.60,BB,2025 NT TFA Quacken BB & Below,374,10
50 BK LCM,2025-07-26,45.43,BB,2025 NT TFA Quacken BB & Below,362,10
100 BR LCM,2025-07-26,1:54.64,BB,2025 NT TFA Quacken BB & Below,329,10
100 BK LCM,2025-07-27,1:37.23,BB,2025 NT TFA Quacken BB & Below,388,10
50 BR LCM,2025-07-27,50.82,BB,2025 NT TFA Quacken BB & Below,374,10
200 FR SCY,2025-10-04,2:45.08,BB,2025 NT LAC Splashing Pumpkins,278,10
50 BR SCY,2025-10-04,44.10,BB,2025 NT LAC Splashing Pumpkins,366,10
100 FL SCY,2025-10-04,1:40.26,B,2025 NT LAC Splashing Pumpkins,98,10
200 IM SCY,2025-10-03,3:06.13,BB,2025 NT LAC Splashing Pumpkins,307,10
100 BK SCY,2025-10-05,1:24.00,BB,2025 NT LAC Splashing Pumpkins,384,10
100 BR SCY,2025-10-05,1:38.29,BB,2025 NT LAC Splashing Pumpkins,326,10
100 IM SCY,2025-10-05,1:26.52,BB,2025 NT LAC Splashing Pumpkins,307,10
